Destination,Year,Migrating into the country
Afghanistan,2015 Combined,339432
Afghanistan,2020 Combined,144098
Afghanistan,2015 Males,171550
Afghanistan,2020 Males,69189
Afghanistan,2015 Females,167882
Afghanistan,2020 Females,74909
Albania,2015 Combined,52031
Albania,2020 Combined,48810
Albania,2015 Males,26517
Albania,2020 Males,24908
Albania,2015 Females,25514
Albania,2020 Females,23902
Algeria,2015 Combined,239473
Algeria,2020 Combined,250378
Algeria,2015 Males,126522
Algeria,2020 Males,132142
Algeria,2015 Females,112951
Algeria,2020 Females,118236
American Samoa,2015 Combined,23513
American Samoa,2020 Combined,23608
American Samoa,2015 Males,11998
American Samoa,2020 Males,12047
American Samoa,2015 Females,11515
American Samoa,2020 Females,11561
Andorra,2015 Combined,42264
Andorra,2020 Combined,45574
Andorra,2015 Males,21485
Andorra,2020 Males,23333
Andorra,2015 Females,20779
Andorra,2020 Females,22241
Angola,2015 Combined,632178
Angola,2020 Combined,656434
Angola,2015 Males,304635
Angola,2020 Males,331401
Angola,2015 Females,327543
Angola,2020 Females,325033
Anguilla,2015 Combined,5471
Anguilla,2020 Combined,5715
Anguilla,2015 Males,2594
Anguilla,2020 Males,2706
Anguilla,2015 Females,2877
Anguilla,2020 Females,3009
Antigua and Barbuda,2015 Combined,28082
Antigua and Barbuda,2020 Combined,29386
Antigua and Barbuda,2015 Males,12524
Antigua and Barbuda,2020 Males,13120
Antigua and Barbuda,2015 Females,15558
Antigua and Barbuda,2020 Females,16266
Argentina,2015 Combined,2086305
Argentina,2020 Combined,2281732
Argentina,2015 Males,960310
Argentina,2020 Males,1062533
Argentina,2015 Females,1125995
Argentina,2020 Females,1219199
Armenia,2015 Combined,191199
Armenia,2020 Combined,190349
Armenia,2015 Males,77436
Armenia,2020 Males,78085
Armenia,2015 Females,113763
Armenia,2020 Females,112264
Aruba,2015 Combined,36114
Aruba,2020 Combined,53593
Aruba,2015 Males,16108
Aruba,2020 Males,24307
Aruba,2015 Females,20006
Aruba,2020 Females,29286
Australia,2015 Combined,6731280
Australia,2020 Combined,7687649
Australia,2015 Males,3344038
Australia,2020 Males,3813000
Australia,2015 Females,3387242
Australia,2020 Females,3874649
Austria,2015 Combined,1483125
Austria,2020 Combined,1738184
Austria,2015 Males,714538
Austria,2020 Males,848395
Austria,2015 Females,768587
Austria,2020 Females,889789
Azerbaijan,2015 Combined,264359
Azerbaijan,2020 Combined,252228
Azerbaijan,2015 Males,126656
Azerbaijan,2020 Males,121007
Azerbaijan,2015 Females,137703
Azerbaijan,2020 Females,131221
Bahamas,2015 Combined,59241
Bahamas,2020 Combined,63583
Bahamas,2015 Males,29963
Bahamas,2020 Males,32161
Bahamas,2015 Females,29278
Bahamas,2020 Females,31422
Bahrain,2015 Combined,722487
Bahrain,2020 Combined,936094
Bahrain,2015 Males,529546
Bahrain,2020 Males,694238
Bahrain,2015 Females,192941
Bahrain,2020 Females,241856
