Destination,Year,Migrating from the country
Afghanistan,2015 Combined,5401107
Afghanistan,2020 Combined,5854088
Afghanistan,2015 Males,2903020
Afghanistan,2020 Males,3226466
Afghanistan,2015 Females,2498087
Afghanistan,2020 Females,2627622
Albania,2015 Combined,1143002
Albania,2020 Combined,1250608
Albania,2015 Males,576306
Albania,2020 Males,642717
Albania,2015 Females,566696
Albania,2020 Females,607891
Algeria,2015 Combined,1837346
Algeria,2020 Combined,2023250
Algeria,2015 Males,986073
Algeria,2020 Males,1086178
Algeria,2015 Females,851273
Algeria,2020 Females,937072
American Samoa,2015 Combined,1984
American Samoa,2020 Combined,1854
American Samoa,2015 Males,1004
American Samoa,2020 Males,936
American Samoa,2015 Females,980
American Samoa,2020 Females,918
Andorra,2015 Combined,8753
Andorra,2020 Combined,11146
Andorra,2015 Males,4213
Andorra,2020 Males,5316
Andorra,2015 Females,4540
Andorra,2020 Females,5830
Angola,2015 Combined,626082
Angola,2020 Combined,676510
Angola,2015 Males,309894
Angola,2020 Males,338789
Angola,2015 Females,316188
Angola,2020 Females,337721
Anguilla,2015 Combined,2553
Anguilla,2020 Combined,2505
Anguilla,2015 Males,1350
Anguilla,2020 Males,1293
Anguilla,2015 Females,1203
Anguilla,2020 Females,1212
Antigua and Barbuda,2015 Combined,52198
Antigua and Barbuda,2020 Combined,66570
Antigua and Barbuda,2015 Males,23796
Antigua and Barbuda,2020 Males,29952
Antigua and Barbuda,2015 Females,28402
Antigua and Barbuda,2020 Females,36618
Argentina,2015 Combined,1195811
Argentina,2020 Combined,1382390
Argentina,2015 Males,593606
Argentina,2020 Males,683978
Argentina,2015 Females,602205
Argentina,2020 Females,698412
Armenia,2015 Combined,945220
Armenia,2020 Combined,958894
Armenia,2015 Males,507525
Armenia,2020 Males,513828
Armenia,2015 Females,437695
Armenia,2020 Females,445066
Aruba,2015 Combined,17111
Aruba,2020 Combined,21916
Aruba,2015 Males,7458
Aruba,2020 Males,9511
Aruba,2015 Females,9653
Aruba,2020 Females,12405
Australia,2015 Combined,520635
Australia,2020 Combined,601867
Australia,2015 Males,249637
Australia,2020 Males,289024
Australia,2015 Females,270998
Australia,2020 Females,312843
Austria,2015 Combined,520723
Austria,2020 Combined,606635
Austria,2015 Males,236460
Austria,2020 Males,284189
Austria,2015 Females,284263
Austria,2020 Females,322446
Azerbaijan,2015 Combined,1130350
Azerbaijan,2020 Combined,1163923
Azerbaijan,2015 Males,606730
Azerbaijan,2020 Males,623400
Azerbaijan,2015 Females,523620
Azerbaijan,2020 Females,540523
Bahamas,2015 Combined,43039
Bahamas,2020 Combined,53870
Bahamas,2015 Males,18153
Bahamas,2020 Males,22372
Bahamas,2015 Females,24886
Bahamas,2020 Females,31498
Bahrain,2015 Combined,56764
Bahrain,2020 Combined,58314
Bahrain,2015 Males,29861
Bahrain,2020 Males,23811
Bahrain,2015 Females,26903
Bahrain,2020 Females,34503
Bangladesh,2015 Combined,6831734
Bangladesh,2020 Combined,7407548
Bangladesh,2015 Males,4506104
Bangladesh,2020 Males,4977697
Bangladesh,2015 Females,2325630
Bangladesh,2020 Females,2429851
Barbados,2015 Combined,102076
Barbados,2020 Combined,99815
Barbados,2015 Males,47250
Barbados,2020 Males,46009
Barbados,2015 Females,54826
Barbados,2020 Females,53806
Belarus,2015 Combined,1470202
Belarus,2020 Combined,1483948
Belarus,2015 Males,623823
Belarus,2020 Males,630175
Belarus,2015 Females,846379
Belarus,2020 Females,853773
Belgium,2015 Combined,520753
Belgium,2020 Combined,583215
Belgium,2015 Males,246915
Belgium,2020 Males,280238
Belgium,2015 Females,273838
Belgium,2020 Females,302977
Belize,2015 Combined,64037
Belize,2020 Combined,53792
Belize,2015 Males,27082
Belize,2020 Males,22614
Belize,2015 Females,36955
Belize,2020 Females,31178
Benin,2015 Combined,634956
Benin,2020 Combined,681860
Benin,2015 Males,341158
Benin,2020 Males,365360
Benin,2015 Females,293798
Benin,2020 Females,316500
Bermuda,2015 Combined,16225
Bermuda,2020 Combined,21107
Bermuda,2015 Males,8007
Bermuda,2020 Males,10312
Bermuda,2015 Females,8218
Bermuda,2020 Females,10795
Bhutan,2015 Combined,51391
Bhutan,2020 Combined,51998
Bhutan,2015 Males,26218
Bhutan,2020 Males,26295
Bhutan,2015 Females,25173
Bhutan,2020 Females,25703
Bolivia (Plurinational State of),2015 Combined,1363893
Bolivia (Plurinational State of),2020 Combined,1562287
Bolivia (Plurinational State of),2015 Males,660483
Bolivia (Plurinational State of),2020 Males,747284
Bolivia (Plurinational State of),2015 Females,703410
Bolivia (Plurinational State of),2020 Females,815003
"Bonaire, Sint Eustatius and Saba",2015 Combined,7367
"Bonaire, Sint Eustatius and Saba",2020 Combined,8216
"Bonaire, Sint Eustatius and Saba",2015 Males,3281
"Bonaire, Sint Eustatius and Saba",2020 Males,3690
"Bonaire, Sint Eustatius and Saba",2015 Females,4086
"Bonaire, Sint Eustatius and Saba",2020 Females,4526
Bosnia and Herzegovina,2015 Combined,1593546
Bosnia and Herzegovina,2020 Combined,1687757
Bosnia and Herzegovina,2015 Males,763207
Bosnia and Herzegovina,2020 Males,820793
Bosnia and Herzegovina,2015 Females,830339
Bosnia and Herzegovina,2020 Females,866964
Botswana,2015 Combined,55294
Botswana,2020 Combined,63561
Botswana,2015 Males,32477
Botswana,2020 Males,39730
Botswana,2015 Females,22817
Botswana,2020 Females,23831
Brazil,2015 Combined,1730213
Brazil,2020 Combined,2150824
Brazil,2015 Males,749319
Brazil,2020 Males,928352
Brazil,2015 Females,980894
Brazil,2020 Females,1222472
British Virgin Islands,2015 Combined,5118
British Virgin Islands,2020 Combined,5355
British Virgin Islands,2015 Males,2245
British Virgin Islands,2020 Males,2343
British Virgin Islands,2015 Females,2873
British Virgin Islands,2020 Females,3012
Brunei Darussalam,2015 Combined,45278
Brunei Darussalam,2020 Combined,45521
Brunei Darussalam,2015 Males,26012
Brunei Darussalam,2020 Males,25843
Brunei Darussalam,2015 Females,19266
Brunei Darussalam,2020 Females,19678
Bulgaria,2015 Combined,1180629
Bulgaria,2020 Combined,1684159
Bulgaria,2015 Males,497229
Bulgaria,2020 Males,693430
Bulgaria,2015 Females,683400
Bulgaria,2020 Females,990729
Burkina Faso,2015 Combined,1518609
Burkina Faso,2020 Combined,1599389
Burkina Faso,2015 Males,848856
Burkina Faso,2020 Males,894354
Burkina Faso,2015 Females,669753
Burkina Faso,2020 Females,705035
Burundi,2015 Combined,460004
Burundi,2020 Combined,551132
Burundi,2015 Males,227751
Burundi,2020 Males,274940
Burundi,2015 Females,232253
Burundi,2020 Females,276192
Cabo Verde,2015 Combined,172979
Cabo Verde,2020 Combined,189239
Cabo Verde,2015 Males,77361
Cabo Verde,2020 Males,85782
Cabo Verde,2015 Females,95618
Cabo Verde,2020 Females,103457
Cambodia,2015 Combined,1074625
Cambodia,2020 Combined,1104874
Cambodia,2015 Males,505749
Cambodia,2020 Males,513037
Cambodia,2015 Females,568876
Cambodia,2020 Females,591837
Cameroon,2015 Combined,349195
Cameroon,2020 Combined,441249
Cameroon,2015 Males,172006
Cameroon,2020 Males,219528
Cameroon,2015 Females,177189
Cameroon,2020 Females,221721
Canada,2015 Combined,1278025
Canada,2020 Combined,1310438
Canada,2015 Males,487597
Canada,2020 Males,510029
Canada,2015 Females,790428
Canada,2020 Females,800409
Cayman Islands,2015 Combined,1709
Cayman Islands,2020 Combined,1908
Cayman Islands,2015 Males,796
Cayman Islands,2020 Males,863
Cayman Islands,2015 Females,913
Cayman Islands,2020 Females,1045
Central African Republic,2015 Combined,686303
Central African Republic,2020 Combined,816752
Central African Republic,2015 Males,348130
Central African Republic,2020 Males,409545
Central African Republic,2015 Females,338173
Central African Republic,2020 Females,407207
Chad,2015 Combined,191269
Chad,2020 Combined,222303
Chad,2015 Males,104493
Chad,2020 Males,119894
Chad,2015 Females,86776
Chad,2020 Females,102409
Channel Islands,2015 Combined,16469
Channel Islands,2020 Combined,17158
Channel Islands,2015 Males,8292
Channel Islands,2020 Males,8836
Channel Islands,2015 Females,8177
Channel Islands,2020 Females,8322
Chile,2015 Combined,896925
Chile,2020 Combined,936522
Chile,2015 Males,425559
Chile,2020 Males,449429
Chile,2015 Females,471366
Chile,2020 Females,487093
China,2015 Combined,10337633
China,2020 Combined,10581696
China,2015 Males,4826183
China,2020 Males,4841601
China,2015 Females,5511450
China,2020 Females,5740095
"China, Hong Kong SAR",2015 Combined,957987
"China, Hong Kong SAR",2020 Combined,1008454
"China, Hong Kong SAR",2015 Males,491402
"China, Hong Kong SAR",2020 Males,516498
"China, Hong Kong SAR",2015 Females,466585
"China, Hong Kong SAR",2020 Females,491956
"China, Macao SAR",2015 Combined,133296
"China, Macao SAR",2020 Combined,145192
"China, Macao SAR",2015 Males,60363
"China, Macao SAR",2020 Males,64597
"China, Macao SAR",2015 Females,72933
"China, Macao SAR",2020 Females,80595
"China, Taiwan Province of China",2015 Combined,0
"China, Taiwan Province of China",2020 Combined,0
"China, Taiwan Province of China",2015 Males,0
"China, Taiwan Province of China",2020 Males,0
"China, Taiwan Province of China",2015 Females,0
"China, Taiwan Province of China",2020 Females,0
Colombia,2015 Combined,3967537
Colombia,2020 Combined,4353889
Colombia,2015 Males,1850822
Colombia,2020 Males,2023498
Colombia,2015 Females,2116715
Colombia,2020 Females,2330391
Comoros,2015 Combined,121749
Comoros,2020 Combined,150823
Comoros,2015 Males,59176
Comoros,2020 Males,73002
Comoros,2015 Females,62573
Comoros,2020 Females,77821
Congo,2015 Combined,204973
Congo,2020 Combined,223914
Congo,2015 Males,102397
Congo,2020 Males,113568
Congo,2015 Females,102576
Congo,2020 Females,110346
Cook Islands,2015 Combined,21555
Cook Islands,2020 Combined,21106
Cook Islands,2015 Males,10691
Cook Islands,2020 Males,10453
Cook Islands,2015 Females,10864
Cook Islands,2020 Females,10653
Costa Rica,2015 Combined,142809
