"Entity","Code","Year","Government expenditure on education, total (% of GDP)"
"Afghanistan","AFG",2015,3.2558000087738037
"Afghanistan","AFG",2016,3.5119800567626953
"Afghanistan","AFG",2017,3.373310089111328
"Afghanistan","AFG",2018,3.1997900009155273
"Afghanistan","AFG",2019,3.213779926300049
"Albania","ALB",2015,3.437969923019409
"Albania","ALB",2016,3.962090015411377
"Albania","ALB",2017,3.611720085144043
"Albania","ALB",2019,3.9457600116729736
"Algeria","DZA",2016,7.344359874725342
"Algeria","DZA",2017,6.505380153656006
"Algeria","DZA",2018,5.866350173950195
"Algeria","DZA",2019,6.100359916687012
"Andorra","AND",2015,3.2803499698638916
"Andorra","AND",2016,3.237070083618164
"Andorra","AND",2017,3.217089891433716
"Andorra","AND",2018,3.2467200756073
"Andorra","AND",2019,3.1506099700927734
"Angola","AGO",2015,3.4869000911712646
"Angola","AGO",2016,2.7549400329589844
"Angola","AGO",2017,2.4668800830841064
"Angola","AGO",2018,2.0446999073028564
"Angola","AGO",2019,1.821179986000061
"Antigua and Barbuda","ATG",2016,2.430799961090088
"Antigua and Barbuda","ATG",2017,2.4484798908233643
"Antigua and Barbuda","ATG",2018,2.6440799236297607
"Antigua and Barbuda","ATG",2019,2.8221499919891357
"Antigua and Barbuda","ATG",2020,3.321619987487793
"Argentina","ARG",2015,5.7761101722717285
"Argentina","ARG",2016,5.54548978805542
"Argentina","ARG",2017,5.454319953918457
"Argentina","ARG",2018,4.945519924163818
"Argentina","ARG",2019,4.802370071411133
"Armenia","ARM",2015,2.805910110473633
"Armenia","ARM",2016,2.758120059967041
"Armenia","ARM",2017,2.707590103149414
"Armenia","ARM",2018,2.2558701038360596
"Armenia","ARM",2019,2.561850070953369
"Armenia","ARM",2020,2.7047600746154785
"Aruba","ABW",2015,5.888269901275635
"Aruba","ABW",2016,5.491350173950195
"Australia","AUS",2015,5.311270236968994
"Australia","AUS",2016,5.276780128479004
"Australia","AUS",2017,5.127900123596191
"Australia","AUS",2018,5.1078901290893555
"Austria","AUT",2015,5.45658016204834
"Austria","AUT",2016,5.479619979858398
"Austria","AUT",2017,5.371890068054199
"Austria","AUT",2018,5.225359916687012
"Azerbaijan","AZE",2015,2.9516799449920654
"Azerbaijan","AZE",2016,2.903409957885742
"Azerbaijan","AZE",2017,2.4738199710845947
"Azerbaijan","AZE",2018,2.455430030822754
"Azerbaijan","AZE",2019,2.6810801029205322
"Bahamas","BHS",2015,2.2883200645446777
"Bahamas","BHS",2016,2.3251700401306152
"Bahamas","BHS",2017,2.4184999465942383
"Bahamas","BHS",2018,2.3095200061798096
"Bahamas","BHS",2019,2.398930072784424
"Bahamas","BHS",2020,2.5108799934387207
"Bahrain","BHR",2015,2.6745400428771973
"Bahrain","BHR",2017,2.3245201110839844
"Bangladesh","BGD",2016,1.535539984703064
"Bangladesh","BGD",2019,1.3263200521469116
"Barbados","BRB",2015,5.382919788360596
"Barbados","BRB",2016,4.707320213317871
"Barbados","BRB",2017,4.366380214691162
"Barbados","BRB",2018,5.428860187530518
"Barbados","BRB",2019,3.2039899826049805
"Barbados","BRB",2020,4.295159816741943
"Belarus","BLR",2015,4.787519931793213
"Belarus","BLR",2016,4.946549892425537
"Belarus","BLR",2017,4.794990062713623
"Belarus","BLR",2018,5.381110191345215
"Belarus","BLR",2019,4.979479789733887
"Belarus","BLR",2020,4.952449798583984
"Belgium","BEL",2015,6.4515700340271
"Belgium","BEL",2016,6.461730003356934
"Belgium","BEL",2017,6.425340175628662
"Belgium","BEL",2018,6.3766398429870605
"Belize","BLZ",2015,6.870150089263916
"Belize","BLZ",2016,7.293650150299072
"Belize","BLZ",2017,7.45028018951416
"Belize","BLZ",2018,7.4722700119018555
"Belize","BLZ",2019,7.138390064239502
"Belize","BLZ",2020,7.940959930419922
"Benin","BEN",2015,3.1729800701141357
"Benin","BEN",2016,2.8991000652313232
"Benin","BEN",2017,3.5355899333953857
"Benin","BEN",2018,2.9339699745178223
"Benin","BEN",2019,2.9651999473571777
"Bermuda","BMU",2015,1.50163996219635
"Bermuda","BMU",2017,1.3249599933624268
"Bhutan","BTN",2015,7.590099811553955
"Bhutan","BTN",2016,6.993330001831055
"Bhutan","BTN",2017,7.2257399559021
"Bhutan","BTN",2018,6.850840091705322
"Botswana","BWA",2015,7.806519985198975
"Botswana","BWA",2016,7.974820137023926
"Botswana","BWA",2017,7.099999904632568
"Botswana","BWA",2018,6.721330165863037
"Botswana","BWA",2019,6.914370059967041
"Brazil","BRA",2015,6.24105978012085
"Brazil","BRA",2016,6.314040184020996
"Brazil","BRA",2017,6.320479869842529
"Brazil","BRA",2018,6.088510036468506
"British Virgin Islands","VGB",2015,5.134789943695068
"British Virgin Islands","VGB",2016,3.797420024871826
"British Virgin Islands","VGB",2017,2.6654300689697266
"British Virgin Islands","VGB",2018,2.6941299438476562
"British Virgin Islands","VGB",2019,2.918790102005005
"Brunei","BRN",2016,4.42540979385376
"Bulgaria","BGR",2017,4.091020107269287
"Burkina Faso","BFA",2015,3.6700899600982666
"Burkina Faso","BFA",2017,5.628469944000244
"Burkina Faso","BFA",2018,5.430560111999512
"Burkina Faso","BFA",2019,5.78548002243042
"Burundi","BDI",2015,6.370540142059326
"Burundi","BDI",2016,4.691999912261963
"Burundi","BDI",2017,4.762020111083984
"Burundi","BDI",2018,5.078649997711182
"Cambodia","KHM",2018,2.1628599166870117
"Cameroon","CMR",2015,2.768049955368042
"Cameroon","CMR",2016,2.6542301177978516
"Cameroon","CMR",2017,3.154819965362549
"Cameroon","CMR",2018,3.131200075149536
"Cameroon","CMR",2019,3.1005001068115234
"Cape Verde","CPV",2015,5.266910076141357
"Cape Verde","CPV",2016,5.288790225982666
"Cape Verde","CPV",2017,5.1817498207092285
"Cape Verde","CPV",2018,5.368850231170654
"Cape Verde","CPV",2019,4.733459949493408
"Central African Republic","CAF",2015,1.910230040550232
"Central African Republic","CAF",2016,1.7540899515151978
"Central African Republic","CAF",2017,1.7536499500274658
"Central African Republic","CAF",2018,1.5658799409866333
"Central African Republic","CAF",2019,1.7687100172042847
"Chad","TCD",2015,2.4000000953674316
"Chad","TCD",2016,2.299999952316284
"Chad","TCD",2017,2.454819917678833
"Chad","TCD",2018,2.2594799995422363
"Chad","TCD",2019,2.372459888458252
"Chile","CHL",2015,4.875309944152832
"Chile","CHL",2016,5.342010021209717
"Chile","CHL",2017,5.4196600914001465
"Chile","CHL",2018,5.433169841766357
"China","CHN",2015,3.8248701095581055
"China","CHN",2016,3.7936201095581055
"China","CHN",2017,3.667449951171875
"China","CHN",2018,3.542490005493164
"Colombia","COL",2015,4.4703898429870605
"Colombia","COL",2016,4.47721004486084
"Colombia","COL",2017,4.535510063171387
"Colombia","COL",2018,4.449100017547607
"Colombia","COL",2019,4.506219863891602
"Comoros","COM",2015,2.5450599193573
"Congo","COG",2015,3.2825798988342285
"Congo","COG",2016,5.209790229797363
"Congo","COG",2017,4.442969799041748
"Congo","COG",2018,3.0014700889587402
"Congo","COG",2019,3.8980000019073486
"Costa Rica","CRI",2015,6.873499870300293
"Costa Rica","CRI",2016,6.893959999084473
"Costa Rica","CRI",2017,7.069809913635254
"Costa Rica","CRI",2018,6.779069900512695
"Costa Rica","CRI",2019,6.80879020690918
"Costa Rica","CRI",2020,6.746260166168213
"Cote d'Ivoire","CIV",2015,3.4941599369049072
"Cote d'Ivoire","CIV",2016,3.972320079803467
"Cote d'Ivoire","CIV",2017,3.8034799098968506
"Cote d'Ivoire","CIV",2018,3.2399399280548096
"Cote d'Ivoire","CIV",2019,3.7004001140594482
"Croatia","HRV",2017,3.905669927597046
"Cyprus","CYP",2015,6.326129913330078
"Cyprus","CYP",2016,6.145410060882568
"Cyprus","CYP",2017,5.754169940948486
"Czechia","CZE",2015,5.751820087432861
"Czechia","CZE",2016,5.553730010986328
"Czechia","CZE",2017,3.8061599731445312
"Czechia","CZE",2018,4.26692008972168
"Democratic Republic of Congo","COD",2015,2.1704399585723877
"Democratic Republic of Congo","COD",2016,2.118690013885498
"Democratic Republic of Congo","COD",2017,1.454949975013733
"Denmark","DNK",2017,7.752439975738525
"Djibouti","DJI",2015,3.590240001678467
"Djibouti","DJI",2016,3.9243900775909424
"Djibouti","DJI",2017,3.7485599517822266
"Djibouti","DJI",2018,3.627739906311035
"Dominica","DMA",2015,3.4085800647735596
"Dominica","DMA",2016,5.129720211029053
"Dominica","DMA",2017,4.766749858856201
"Dominica","DMA",2018,5.571549892425537
"Dominica","DMA",2019,5.571609973907471
"Dominica","DMA",2020,4.998129844665527
"Dominican Republic","DOM",2015,3.816240072250366
"Dominican Republic","DOM",2016,3.8505001068115234
"Dominican Republic","DOM",2017,3.9202699661254883
"Dominican Republic","DOM",2018,3.928489923477173
"Dominican Republic","DOM",2019,4.042769908905029
"East Asia and Pacific",NULL,2015,3.8248701095581055
"East Asia and Pacific",NULL,2016,4.063360214233398
"East Asia and Pacific",NULL,2017,4.085539817810059
"East Asia and Pacific",NULL,2018,3.434504985809326
"Ecuador","ECU",2015,4.998700141906738
"Ecuador","ECU",2016,4.362750053405762
"Ecuador","ECU",2017,4.614260196685791
"Ecuador","ECU",2018,4.6214599609375
"Ecuador","ECU",2019,4.2256598472595215
"Ecuador","ECU",2020,4.134130001068115
"Egypt","EGY",2015,3.930850028991699
"El Salvador","SLV",2015,3.9098799228668213
"El Salvador","SLV",2016,3.825239896774292
"El Salvador","SLV",2017,3.7252299785614014
"El Salvador","SLV",2018,3.60575008392334
"El Salvador","SLV",2019,3.385159969329834
