"Country name","Year","Population","Population of children under the age of 1","Population of children under the age of 5","Population of children under the age of 15","Population under the age of 25","Population aged 15 to 64 years","Population at age 1","Population aged 1 to 4 years","Population aged 5 to 9 years","Population aged 10 to 14 years","Population aged 15 to 19 years","Population aged 20 to 29 years","Population aged 30 to 39 years","Population aged 40 to 49 years","Population aged 50 to 59 years","Population aged 60 to 69 years","Population aged 70 to 79 years","Population aged 80 to 89 years","Population aged 90 to 99 years","Population older than 100 years","population__all__15plus__records","population__all__18plus__records"
"Afghanistan",2015,33753500,1238201,5747862,15456437,22708012,17485012,1187761,4509661,5083265,4625310,3998778,5732466,3529267,2350849,1413659,814056,371848,81378,4628,133,18296928,15818155
"Afghanistan",2016,34636212,1256664,5894636,15766737,23239372,18038552,1216903,4637972,5142552,4729549,4102738,5948136,3617735,2428714,1464517,833677,385801,83944,4140,72,18869402,16325871
"Afghanistan",2017,35643420,1268641,6028737,16081817,23807538,18706224,1238498,4760096,5212487,4840593,4222210,6206481,3741917,2517748,1523369,856795,401322,87484,4236,40,19561562,16945448
"Afghanistan",2018,36686788,1290266,6147355,16402093,24377892,19401608,1252219,4857089,5334330,4920408,4343114,6468908,3881454,2608343,1586312,883719,416827,91481,4513,23,20284670,17596500
"Afghanistan",2019,37769496,1313684,6262390,16728620,24950588,20127700,1274592,4948706,5487694,4978536,4461340,6738758,4039411,2701018,1653460,914688,431683,95602,4901,14,21040860,18284280
"Afghanistan",2020,38972236,1338671,6375097,17072924,25563700,20957368,1299717,5036426,5647052,5050775,4584023,7049695,4238417,2804197,1726474,949111,442845,99060,5458,32,21899280,19076408
"Africa (UN)",2015,1201108000,40085576,189293000,495490940,726413440,665997900,38746430,149207420,164655650,141542290,122642700,204278270,150031490,100395150,66087336,39015176,17785904,4936880,434246,9835,705607200,630187140
"Africa (UN)",2016,1232111600,40600428,192555140,507118240,743156700,684020700,39399004,151954700,168979620,145583500,125581370,208331620,154955760,103488536,68327384,40354708,18409168,5078636,455671,10498,724982850,647519100
"Africa (UN)",2017,1263333800,41102304,195605150,518523100,759940030,702390400,39932144,154502850,173164580,149753380,128790120,212302030,159777800,106759490,70645490,41723896,19089312,5231323,479911,11278,744799360,665180600
"Africa (UN)",2018,1295265000,41705100,198599410,529770340,776965900,721535740,40450124,156894300,177108220,154062690,132299900,216436430,164513140,110301350,73054320,43190732,19791832,5390368,504595,12040,765482700,683666370
"Africa (UN)",2019,1327701100,42313264,201562530,540843400,794207100,741291140,41070424,159249280,180855970,158424850,135980420,220823950,169064340,114105656,75526640,44771480,20495524,5549767,527419,12594,786845200,702767700
"Africa (UN)",2020,1360677200,42887228,204488060,551727360,811759900,761876350,41703130,161600830,184460220,162779040,139859620,225711820,173488220,118165256,78001390,46314650,21179608,5672989,543444,12861,808937000,722454400
"Albania",2015,2882482,33567,167618,523652,1019225,1968730,34071,134051,160753,195281,239277,477068,340003,360196,394606,284099,185620,68581,9201,179,2358651,2218868
"Albania",2016,2881064,32138,165643,512651,993922,1965888,32964,133505,159404,187604,228578,478945,344363,355067,396270,294822,188767,71884,9532,185,2368228,2234305
"Albania",2017,2879361,30844,162006,502251,968245,1962446,31430,131162,159817,180428,218700,477974,350407,349087,397303,305532,192299,75685,9930,193,2376917,2249333
"Albania",2018,2877019,29625,156677,491484,941856,1958287,30142,127052,160919,173888,210667,474297,357749,342580,397162,316169,196515,79826,10365,205,2385330,2263462
"Albania",2019,2873883,28770,150467,481425,914818,1951299,28895,121697,162110,168848,202065,468425,366904,336485,395103,326711,201536,84182,10829,218,2392240,2274074
"Albania",2020,2866850,28415,145146,472214,888579,1941039,28033,116731,162182,164886,193438,459802,377596,331384,391387,336144,206374,87278,11010,223,2394413,2279673
"Algeria",2015,39543148,975970,4623426,11468788,17929854,26021774,949745,3647456,3812476,3032886,2988231,7160668,6699723,4821624,3213748,1901669,930866,330567,27020,245,28074116,26350484
